joint,x,y,z
8,345.49594,109.62977,1364.9469
9,257.39676,-65.22064,1394.2816
10,399.74557,-76.27428,1323.8212
11,226.4158,-420.03406,1405.8639
12,415.65936,-399.74908,1310.9254
13,261.5336,-760.33417,1519.8041
14,412.00317,-777.1636,1397.0482
0,346.6512,429.06494,1392.4292
1,361.52,287.91714,1370.9326
2,241.7771,294.4521,1437.4784
3,481.26288,281.3822,1304.3868
4,208.85445,92.8349,1539.0458
5,546.4521,74.40773,1321.5216
6,111.81297,-186.5936,1432.5271
7,511.64975,-132.45135,1135.9117
8,345.30338,109.48229,1359.275
9,257.35376,-65.03775,1387.4822
10,400.81976,-72.867386,1307.7527
11,224.3976,-419.20337,1393.0098
12,418.72607,-399.00305,1313.7672
13,258.3902,-761.2772,1507.6497
14,415.5033,-778.7488,1407.5149
0,342.30673,429.80225,1387.9218
1,360.7922,287.15057,1370.6387
2,241.16693,292.3876,1438.2086
3,480.41748,281.91354,1303.0687
4,210.74872,92.06888,1540.7433
5,548.484,76.28932,1315.9601
6,109.01741,-197.32135,1445.3834
7,514.2481,-138.36945,1134.7378
8,345.99042,108.7743,1358.2588
9,257.7817,-66.38831,1387.3425
10,404.59555,-72.81562,1304.4153
11,226.6472,-419.43646,1386.7004
12,418.6068,-396.234,1310.0463
13,262.5046,-761.06445,1504.4974
14,414.13867,-777.77295,1412.969
0,341.00015,430.54034,1384.6078
1,360.4512,285.7418,1370.6062
2,241.24695,290.27,1438.9927
3,479.65546,281.21362,1302.2197
4,213.61598,90.324066,1554.2897
5,541.7551,80.33185,1294.008
6,110.79164,-210.10861,1458.0093
7,517.81964,-151.72786,1131.6926
8,346.1569,107.48434,1357.493
9,257.49362,-67.94808,1387.0448
10,406.23154,-73.59817,1301.715
11,229.29388,-417.7242,1384.3402
12,416.15137,-399.3705,1304.6357
13,263.23553,-760.6191,1504.6696
14,411.26572,-775.4325,1416.2869
0,339.15677,430.49847,1382.6055
1,359.3235,282.49564,1370.0143
2,239.76227,286.73016,1438.3193
3,478.8847,278.2611,1301.7092
4,214.51912,71.12303,1560.2185
5,541.48456,77.39938,1287.8694
6,109.1087,-220.81221,1462.6284
7,519.6428,-162.1117,1129.7913
8,345.37735,102.19312,1356.7806
9,254.46127,-75.38332,1387.5198
10,408.40115,-80.83547,1299.5742
11,231.07251,-411.78015,1387.233
12,415.31506,-412.3273,1306.1366
13,266.3924,-756.7205,1503.2292
14,410.03494,-781.0168,1417.6199
0,338.03323,429.46564,1382.6791
1,358.0886,280.09534,1368.9143
2,238.4975,283.25894,1438.2307
3,477.6797,276.93173,1299.5979
4,215.27733,74.464966,1559.553
5,536.20703,69.92996,1282.208
6,108.83075,-223.67432,1462.4073
7,519.4237,-172.5311,1128.9716
8,345.31018,100.47266,1355.0658
9,255.69888,-77.11753,1385.7505
10,409.36465,-81.18252,1296.6841
11,232.35371,-419.45963,1383.1779
12,405.23203,-440.38315,1305.2374
13,267.0076,-767.31067,1504.6517
14,406.73428,-766.9342,1418.0939
0,337.68695,428.81757,1382.7651
1,356.51947,277.9566,1365.8262
2,237.35207,280.69922,1437.14
3,475.6869,275.214,1294.5123
4,213.58144,74.40845,1557.2012
5,533.1843,66.18794,1281.7728
6,112.91013,-224.06918,1457.3951
7,519.1156,-177.61397,1130.7784
8,344.5344,98.90526,1352.6848
9,256.07678,-78.38608,1385.3073
10,409.02185,-81.9061,1293.7797
11,229.94485,-431.53625,1392.7917
12,400.2105,-441.11282,1299.7943
13,268.3164,-772.87646,1503.786
